cve_id,hash,repo_url,rel_type,score
CVE-2019-19082,104c307147ad379617472dd91a5bcb368d72bd6d,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2021-33362,1273cdc706eeedf8346d4b9faa5b33435056061d,https://github.com/gpac/gpac,NVD_DIRECT_COMMIT,1337
CVE-2022-0696,0f6e28f686dbb59ab3b562408ab9b2234797b9b1,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2013-0263,0cd7e9aa397f8ebb3b8481d67dbac8b4863a7f07,https://github.com/rack/rack,NVD_DIRECT_COMMIT,1337
CVE-2022-3297,0ff01835a40f549c5c4a550502f62a2ac9ac447c,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2016-10088,128394eff343fc6d2f32172f03e24829539c5835,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2016-2184,0f886ca12765d20124bd06291c82951fd49a33be,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2017-5576,0f2ff82e11c86c05d051cae32b58226392d33bbf,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2011-1160,1309d7afbed112f0e8e90be9af975550caa0076b,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2016-2180,0ed26acce328ec16a3aa635f1ca37365e8c7403a,https://github.com/openssl/openssl,NVD_DIRECT_COMMIT,1337
CVE-2013-1957,132c94e31b8bca8ea921f9f96a57d684fa4ae0a9,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2015-0205,1421e0c584ae9120ca1b88098f13d6d2e90b83a3,https://github.com/openssl/openssl,NVD_DIRECT_COMMIT,1337
CVE-2021-4189,0ab152c6b5d95caa2dc1a30fa96e10258b5f188e,https://github.com/python/cpython,NVD_DIRECT_COMMIT,1337
CVE-2017-6350,0c8485f0e4931463c0f7986e1ea84a7d79f10c75,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2014-9731,0e5cc9a40ada6046e6bc3bdfcd0c0d7e4b706b14,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2013-1928,12176503366885edd542389eed3aaf94be163fdb,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-0433,11977f917506d950b7e0cae558bd9189260b253b,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2022-39319,11555828d2cf289b350baba5ad1f462f10b80b76,https://github.com/FreeRDP/FreeRDP,NVD_DIRECT_COMMIT,1337
CVE-2017-9605,07678eca2cf9c9a18584e546c2b2a0d0c9a3150c,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-31036,04c305396458508a31d03d44afea07b1c620d7cd,https://github.com/argoproj/argo-cd,NVD_DIRECT_COMMIT,1337
CVE-2007-6761,0b29669c065f60501e7289e1950fa2a618962358,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-47518,0cdfa9e6f0915e3d243e2393bfa8a22e12d553b0,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2013-0309,027ef6c87853b0a9df53175063028edb4950d476,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-2125,0e8e938d497260dd57be67b4966cb27a5f72376f,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2023-28107,0bd64788d2b4680c04fbef76314a24884d65fed9,https://github.com/discourse/discourse,NVD_DIRECT_COMMIT,1337
CVE-2022-46159,0ce38bd7bce862db251b882613ab7053ca777382,https://github.com/discourse/discourse,NVD_DIRECT_COMMIT,1337
CVE-2011-2491,0b760113a3a155269a3fba93a409c640031dd68f,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-28334,0e3c8eb740e1e49a62a5f452cda7e06258712bbf,https://github.com/moodle/moodle,GHSD_DIRECT_COMMIT,1337
CVE-2018-11508,0a0b98734479aa5b3c671d5190e86273372cab95,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2017-3735,068b963bb7afc57f5bdd723de0dd15e7795d5822,https://github.com/openssl/openssl,NVD_DIRECT_COMMIT,1337
CVE-2021-29434,5c7a60977cba478f6a35390ba98cffc2bd41c8a4,https://github.com/wagtail/wagtail,GHSD_DIRECT_COMMIT,1337
CVE-2022-31063,c947975a4f1ff7bbfd7d5cd24a2e16bf12bd96d4,https://github.com/Enalean/tuleap,NVD_DIRECT_COMMIT,1337
CVE-2015-4003,04bf464a5dfd9ade0dda918e44366c2c61fce80b,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-19064,057b8945f78f76d0b04eeb5c27cd9225e5e7ad86,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-43655,95e091c921037b7b6564942845e7b738f6b95c9c,https://github.com/composer/composer,NVD_DIRECT_COMMIT,1337
CVE-2015-2672,06c8173eb92bbfc03a0fe8bb64315857d0badd06,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2015-8539,096fe9eaea40a17e125569f9e657e34cdb6d73bd,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2013-4119,0773bb9303d24473fe1185d85a424dfe159aff53,https://github.com/FreeRDP/FreeRDP,NVD_DIRECT_COMMIT,1337
CVE-2021-41116,ca5e2f8d505fd3bfac6f7c85b82f2740becbc0aa,https://github.com/composer/composer,NVD_DIRECT_COMMIT,1337
CVE-2022-31027,5cd2d1816f90dc5c946e6e38fd2d0ba535624c5c,https://github.com/jupyterhub/oauthenticator,GHSD_DIRECT_COMMIT,1337
CVE-2023-46237,68d73740d7d40aee77cfda3fb8199d58bf04f48b,https://github.com/FOGProject/fogproject,NVD_DIRECT_COMMIT,1337
CVE-2018-13303,00e8181bd97c834fe60751b0c511d4bb97875f78,https://github.com/FFmpeg/FFmpeg,NVD_DIRECT_COMMIT,1337
CVE-2015-8374,0305cd5f7fca85dae392b9ba85b116896eb7c1c7,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2014-4652,07f4d9d74a04aa7c72c5dae0ef97565f28f17b92,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-34096,26de047275c355c5ae2bbbc51b164f0f8bef5c5b,https://github.com/sni/Thruk,NVD_DIRECT_COMMIT,1337
CVE-2020-29572,0bfc0bf38a7758b27c5c446fec5e3b905e5a54ab,https://github.com/MISP/MISP,NVD_DIRECT_COMMIT,1337
CVE-2024-23638,e8118a7381213f5cfcdeb4cec1d2d854bfd261c8,https://github.com/squid-cache/squid,NVD_DIRECT_COMMIT,1337
CVE-2018-8787,09b9d4f1994a674c4ec85b4947aa656eda1aed8a,https://github.com/FreeRDP/FreeRDP,NVD_DIRECT_COMMIT,1337
CVE-2018-13405,0fa3ecd87848c9c93c2c828ef4c3a8ca36ce46c7,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2010-4648,0a54917c3fc295cb61f3fb52373c173fd3b69f48,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2013-0349,0a9ab9bdb3e891762553f667066190c1d22ad62b,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2011-1759,0f22072ab50cac7983f9660d33974b45184da4f9,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2021-35039,0c18f29aae7ce3dadd26d8ee3505d07cc982df75,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2017-10911,089bc0143f489bd3a4578bdff5f4ca68fb26f341,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2018-10891,0b18d0c960c27994dd9870d286f2da3fa5868c06,https://github.com/moodle/moodle,GHSD_DIRECT_COMMIT,1337
